K1LZ,MULTI-MULTI,CW,"32,142,632",AC1ZF K1LZ K1VR K1ZM K3JO KC1KUG KC1TEN KC1TQW KE1J LU9ESD NJ5M W1ADI W1UE W1UE W1UJ W3MLJ WX7AA
KC1XX,MULTI-TWO,PH,"16,580,400",EA5KA K1GQ K1OA K1QX KC1XX W6PH WA1Z WO1N
K1LZ,MULTI-ONE HIGH,PH,"15,061,998",K1LZ K3JO KC1KUG KE1J W3MLJ
V47T,MULTI-TWO,PH,"15,022,989",K4ZW K5ZD KM3T N2NT
K5ZD,SA HP ALL,CW,"13,794,836",
KC1XX,MULTI-MULTI,CW,"12,830,386",DJ5MW DL1MGB DL4NAC DL5NEN DL8DYL DL8LAS DM5EE EA5KA K1GQ K1OA K1TR KC1XX KM3T WA1Z WO1N
K1TTT,MULTI-MULTI,CW,"11,639,453",K0TF K1BG K1TTT KR3E KY4GS N2KW NM5M NT2X W0EAS W1SJ W1TO WA2BOT WR2I WS1L
K1ZZ,SA HP ALL,CW,"11,085,480",
K2LE,MULTI-TWO,CW,"11,060,160",AH2O K2LE K2TR W1VE
HQ9X,MULTI-TWO,PH,"10,689,252",HR2DDL K1XM K2TR KQ1F N2WQ W1UE
KQ2M,SO HP ALL,PH,"9,301,076",
PJ4K,MULTI-TWO,CW,"8,968,830",K1EP K3CT K5PI N2RC N3RD W4PA WA3LRO WC1M
KQ2M,SO HP ALL,CW,"8,412,585",
N9NC,SA HP ALL,CW,"8,335,805",
W1KM,SO HP ALL,CW,"8,123,148",
K1DG,SA HP ALL,CW,"8,084,070",
K1AR,SA HP ALL,CW,"7,949,946",
K1TTT,MULTI-MULTI,PH,"7,803,642",K1BG K1TTT N9SM NC8R NJ1F NT2X W0EAS W1TO W2ARX WA2BOT WR2I
K1RX,SA HP ALL,CW,"7,230,744",
K1KI,MULTI-MULTI,CW,"6,368,544",K1KI KM1P
DU0A,MULTI-ONE HIGH,CW,"5,777,197",DU0A K1XM KQ1F N5ZO
N2GC,SA HP ALL,CW,"5,490,450",
KI1G,SA LP ALL,CW,"5,456,464",
N9NC,SA HP ALL,PH,"5,413,680",
NN1SS,SA HP ALL,CW,"5,413,269",
AA1ON,SA HP ALL,CW,"5,154,948",
W3PU,SA HP ALL,PH,"5,087,511",KO8SCA
AA1ON,SA HP ALL,PH,"4,966,048",
WK1O,SA HP ALL,PH,"4,661,076",
NN1SS,SA HP ALL,PH,"4,555,980",
K1ZZ,SA HP ALL,PH,"4,259,670",
K3LR,MULTI-MULTI,PH,"4,045,900",CE2LR K1AR K1DG K3LA K3LR K3UA KE8LQR N0QQ N2NC N2NL N3GJ N3SD N5UM N9RV W2RQ WM2H
